,N_Estimators,Max_Depth,Confusion Matrix Split 51,Confusion Matrix Split 52,Confusion Matrix Split 53,Confusion Matrix Split 54,Confusion Matrix Split 55,Confusion Matrix Split 56,Confusion Matrix Split 57,Confusion Matrix Split 58,Confusion Matrix Split 59,Confusion Matrix Split 60
0,200,5,"[3, 2, 1, 4]","[4, 1, 3, 2]","[3, 2, 3, 2]","[2, 3, 2, 3]","[2, 3, 1, 4]","[3, 2, 3, 2]","[4, 1, 1, 3]","[3, 2, 0, 4]","[3, 1, 2, 3]","[3, 1, 1, 4]"
1,200,7,"[4, 1, 1, 4]","[4, 1, 3, 2]","[3, 2, 3, 2]","[2, 3, 2, 3]","[3, 2, 1, 4]","[3, 2, 3, 2]","[4, 1, 1, 3]","[1, 4, 0, 4]","[3, 1, 2, 3]","[3, 1, 1, 4]"
2,200,10,"[4, 1, 1, 4]","[4, 1, 2, 3]","[3, 2, 3, 2]","[2, 3, 2, 3]","[2, 3, 0, 5]","[3, 2, 3, 2]","[4, 1, 1, 3]","[1, 4, 0, 4]","[3, 1, 2, 3]","[3, 1, 2, 3]"
3,300,5,"[3, 2, 1, 4]","[4, 1, 3, 2]","[3, 2, 3, 2]","[2, 3, 2, 3]","[2, 3, 2, 3]","[3, 2, 3, 2]","[4, 1, 1, 3]","[4, 1, 0, 4]","[3, 1, 2, 3]","[3, 1, 1, 4]"
4,300,7,"[4, 1, 1, 4]","[4, 1, 3, 2]","[3, 2, 3, 2]","[2, 3, 1, 4]","[3, 2, 0, 5]","[3, 2, 3, 2]","[4, 1, 1, 3]","[2, 3, 0, 4]","[3, 1, 2, 3]","[3, 1, 1, 4]"
5,300,10,"[4, 1, 1, 4]","[4, 1, 2, 3]","[3, 2, 3, 2]","[2, 3, 1, 4]","[2, 3, 1, 4]","[3, 2, 3, 2]","[4, 1, 1, 3]","[2, 3, 0, 4]","[3, 1, 2, 3]","[3, 1, 2, 3]"
6,400,5,"[3, 2, 1, 4]","[4, 1, 3, 2]","[3, 2, 3, 2]","[2, 3, 1, 4]","[2, 3, 2, 3]","[3, 2, 3, 2]","[4, 1, 1, 3]","[4, 1, 0, 4]","[3, 1, 2, 3]","[3, 1, 1, 4]"
7,400,7,"[4, 1, 1, 4]","[4, 1, 3, 2]","[3, 2, 3, 2]","[2, 3, 1, 4]","[2, 3, 1, 4]","[3, 2, 3, 2]","[4, 1, 1, 3]","[2, 3, 0, 4]","[3, 1, 2, 3]","[3, 1, 2, 3]"
8,400,10,"[4, 1, 1, 4]","[4, 1, 3, 2]","[3, 2, 3, 2]","[2, 3, 1, 4]","[2, 3, 1, 4]","[3, 2, 3, 2]","[4, 1, 1, 3]","[2, 3, 0, 4]","[3, 1, 2, 3]","[3, 1, 2, 3]"
9,500,5,"[3, 2, 1, 4]","[4, 1, 3, 2]","[3, 2, 3, 2]","[2, 3, 1, 4]","[2, 3, 2, 3]","[3, 2, 3, 2]","[4, 1, 1, 3]","[4, 1, 0, 4]","[3, 1, 2, 3]","[3, 1, 1, 4]"
10,500,7,"[4, 1, 1, 4]","[4, 1, 3, 2]","[3, 2, 3, 2]","[2, 3, 1, 4]","[2, 3, 1, 4]","[3, 2, 3, 2]","[4, 1, 1, 3]","[3, 2, 0, 4]","[3, 1, 2, 3]","[3, 1, 2, 3]"
11,500,10,"[4, 1, 1, 4]","[4, 1, 3, 2]","[3, 2, 3, 2]","[2, 3, 1, 4]","[2, 3, 1, 4]","[3, 2, 3, 2]","[4, 1, 1, 3]","[3, 2, 0, 4]","[3, 1, 2, 3]","[3, 1, 2, 3]"
