,N_Estimators,Max_Depth,Confusion Matrix 0,Confusion Matrix 1,Confusion Matrix 2,Confusion Matrix 3,Confusion Matrix 4,Confusion Matrix 5,Confusion Matrix 6,Confusion Matrix 7,Confusion Matrix 8,Confusion Matrix 9
0,200,5,[35 13 12 36],[37 11 12 36],[34 14 14 34],[35 13 13 35],[33 15 15 33],[37 11 14 34],[33 15 14 34],[35 13 14 34],[35 13 13 35],[35 13 11 37]
1,200,7,[35 13 11 37],[36 12 10 38],[35 13 13 35],[33 15 13 35],[31 17 14 34],[38 10 15 33],[35 13 14 34],[36 12 12 36],[36 12 12 36],[36 12 11 37]
2,200,10,[35 13 10 38],[36 12 12 36],[36 12 13 35],[33 15 14 34],[31 17 14 34],[38 10 13 35],[35 13 14 34],[36 12 11 37],[36 12 12 36],[35 13 12 36]
3,300,5,[35 13 12 36],[37 11 12 36],[35 13 12 36],[36 12 15 33],[34 14 14 34],[35 13 14 34],[34 14 13 35],[37 11 13 35],[35 13 13 35],[37 11 11 37]
4,300,7,[35 13 11 37],[36 12 12 36],[35 13 11 37],[35 13 14 34],[31 17 14 34],[33 15 14 34],[35 13 13 35],[36 12 12 36],[35 13 13 35],[37 11 13 35]
5,300,10,[35 13 11 37],[36 12 12 36],[34 14 11 37],[35 13 14 34],[31 17 15 33],[33 15 13 35],[35 13 13 35],[36 12 12 36],[35 13 13 35],[36 12 13 35]
6,400,5,[35 13 13 35],[36 12 13 35],[35 13 12 36],[36 12 15 33],[33 15 14 34],[35 13 14 34],[35 13 13 35],[36 12 14 34],[35 13 14 34],[37 11 13 35]
7,400,7,[35 13 11 37],[34 14 12 36],[34 14 12 36],[34 14 14 34],[33 15 13 35],[33 15 13 35],[35 13 13 35],[35 13 14 34],[34 14 12 36],[34 14 12 36]
8,400,10,[34 14 11 37],[35 13 12 36],[34 14 11 37],[35 13 14 34],[33 15 14 34],[33 15 13 35],[34 14 13 35],[35 13 14 34],[34 14 12 36],[34 14 12 36]
9,500,5,[34 14 12 36],[37 11 13 35],[36 12 12 36],[36 12 15 33],[33 15 13 35],[35 13 14 34],[35 13 14 34],[36 12 15 33],[35 13 12 36],[38 10 11 37]
10,500,7,[35 13 11 37],[34 14 12 36],[34 14 11 37],[35 13 13 35],[34 14 12 36],[34 14 14 34],[34 14 13 35],[35 13 14 34],[34 14 11 37],[35 13 11 37]
11,500,10,[34 14 12 36],[34 14 12 36],[34 14 11 37],[35 13 13 35],[35 13 12 36],[34 14 14 34],[33 15 13 35],[35 13 13 35],[34 14 12 36],[36 12 11 37]
